page,row,date,time,title,body
215,4,"2018-08-20","08:59:58","[출발]국채선물 보합..108.55 0틱","[이데일리 MARKETPOINT] 09:00 현재 국채선물 보합..108.55 0틱    ▶실전매매 15년 이상 베테랑 전업투자자가 직접 리딩![무료채팅방 바로입장] 하이스탁론, 선취수수료 없는 월 0.4% 최저금리 상품 출시  ＜ⓒ종합 경제정보미디어 이데일리 - 무단전재 & 재배포 금지＞    "
215,5,"2018-08-20","08:59:58","[출발]지수선물 상승..289.85(+1.25p)","[이데일리 MARKETPOINT] 09:00 현재 지수선물 상승..289.85(+1.25p)    ▶실전매매 15년 이상 베테랑 전업투자자가 직접 리딩![무료채팅방 바로입장] 하이스탁론, 선취수수료 없는 월 0.4% 최저금리 상품 출시  ＜ⓒ종합 경제정보 미디어 이데일리 - 무단전재 & 재배포 금지＞    "
215,6,"2018-08-20","08:59:53","[포토] 손 흔드는 남측 상봉단","제21차 남북 이산가족 상봉 행사 남측 상봉단이 20일 오전 강원 속초 한화리조트에서 금강산으로 출발하고 있다. 사진공동취재단    고이란 기자(photoeran@etoday.co.kr)   [오늘의 핫클릭]  ☞'금주의 주식 성공기' 퇴직 후 백만원으로 35억 벌게 된 60대 남성 화제!  ☞태풍 '솔릭' 한반도 관통 예측, 현재위치는?… 22일 밤 제주 도착  ☞경기ㆍ강원 접경지역 부동산 시장 들썩  ☞서울대공원 50대 초반 남성 시신 발견…전문가 ""시신 유기 장소, 범죄자와 밀접한 관련성""  ☞""내년 D램 가격, 올해보다 하락할 전망""    ☞“제2의 셀트리온 등장” 백만원 투자로 억대가...?  ☞[카톡방] 무료 주식 카톡방 신청자수 38만 명 돌파 <업계 최대 카톡방> →카톡방 입장하기!         Copyrightⓒ이투데이, All rights reserved. (무단 전재 및 재배포 금지)   프리미엄 경제신문 이투데이    "
215,7,"2018-08-20","08:59:43","“잭슨홀 미팅 후 강달러 확대 대비해야”-KB증권","이번주 미국에서 진행되는 잭슨홀미팅에 전세계 금융시장의 관심이 쏠리고 있다. 특히 올해 미국 중앙은행인 연방준비제도(Fed·연준) 의장으로 취임한 제롬 파월의 연설이 주목받을 전망이다. 일각에서는 잭슨홀미팅 후 강달러 확대를 대비해야 한다고 조언한다.   잭슨홀미팅은 매년 8월 미국 와이오밍주(州) 휴양 도시 잭슨홀에 주요국 중앙은행장과 경제 전문가가 모여 세계경제 현안을 논의하는 자리다. 이번 행사는 23일~25일(현지시간) 열리며 파월은 24일 '변화하는 경제의 통화정책'이라는 주제로 연설할 예정이다. 이와 관련해 KB증권은 파월 의장의 연설에서 크게 4가지를 주목해야 한다고 분석했다.   우선 과거 잭슨홀에서 연준 의장 연설 이후 전개되던 '완화적' 통화정책 공식이 이어질 지 여부인데, 올해는 이런 공식이 깨질 가능성에 주목해야 한다. 김두언 KB증권 연구원은 ""파월 의장의 연설에도 연준의 통화정책 정상화는 지속될 개연성이 크다""면서 ""미국은 견고한 경기와 완전고용 수준의 실업률을 바탕으로 3년래 최고 수준인 4.1%의 성장률을 기록하고 있기 때문""이라고 설명했다.   두번째 대차대조표 축소의 변경 여부다. 연준의 대차대조표 축소 규모는 늘리는 것은 그만큼 미국 경기에 대한 자신감의 표현이다. 현재 미국 경기를 감안할 때 파월 의장이 대차대조표 축소 규모의 확대 또는 초과지급준비금 금리(IOER)의 상향 조정 등을 언급할 가능성이 있다.   세번째 무역분쟁에 대한 언급이다. 김 연구원은 ""이번 연설에서 파월 의장이 무역분쟁에 대한 우려를 강조한다면 향후 연준의 금리인상 기대는 낮아질 수 있고, 무역분쟁에도 미국 경기는 여전히 견고하다는 점을 강조한다면 향후 금리인상 기대는 보다 확대될 가능성이 있다""고 말했다.   마지막으로 중립금리 수준에 대한 언급 여부다. 금리인상 기조에도 인플레이션 지표가 안정적이라면 중립금리의 상향은 어렵다. 아직까지 미국 인플레 지표들은 안정적인 모습을 이어가고 있다.     김 연구원은 올해 잭슨홀 회의는 연준의 통화정상화 기조를 재확인하는 계기가 될 것으로 전망했다. 이에 9월 연방공개시장위원회(FOMC) 회의에서의 금리인상 전망을 유지했다. 또한 12월 금리인상도 점차 높아지고 있다는 점을 주시해야 한다고 김 연구원은 조언했다.   그는 ""주시해야 할 대목은 강달러 기조의 확대 가능성""이라면서 ""연준의 통화정상화 기대가 고조될수록 강달러 압력은 확대될 개연성이 크다""고 말했다. 그는 이어 ""이번주(22~23일) 재개 되는 미중 무역협상 결과가 변수일 수 있으나 올해 잭슨홀 회의 후 강달러 기조 확대를 대비할필요가 있다""고 말했다.   김나은 기자(better68@etoday.co.kr)   [오늘의 핫클릭]  ☞'금주의 주식 성공기' 퇴직 후 백만원으로 35억 벌게 된 60대 남성 화제!  ☞태풍 '솔릭' 한반도 관통 예측, 현재위치는?… 22일 밤 제주 도착  ☞경기ㆍ강원 접경지역 부동산 시장 들썩  ☞서울대공원 50대 초반 남성 시신 발견…전문가 ""시신 유기 장소, 범죄자와 밀접한 관련성""  ☞""내년 D램 가격, 올해보다 하락할 전망""    ☞“제2의 셀트리온 등장” 백만원 투자로 억대가...?  ☞[카톡방] 무료 주식 카톡방 신청자수 38만 명 돌파 <업계 최대 카톡방> →카톡방 입장하기!         Copyrightⓒ이투데이, All rights reserved. (무단 전재 및 재배포 금지)   프리미엄 경제신문 이투데이    "
216,1,"2018-08-20","08:58:00","귀뚜라미, 한국도시가스협회와 열병합 발전 사업 MOU 체결","[서울=뉴스핌] 민경하 기자 =귀뚜라미보일러와 한국도시가스협회가 열병합 발전시스템 사업 활성화를 위해 힘을 모으기로 했다.  귀뚜라미는 지난 17일 서울 강남구 역삼동 한국도시가스협회 사무실에서 ‘가스엔진을 이용한 삼중 열병합 발전시스템 사업’에 관한 양해각서(MOU)를 체결했다고 20 일 밝혔다.  가스 내연기관 엔진 방식의 삼중 열병합 발전시스템(Tri-generation System)은 청정연료인도시가스로 가스엔진 발전기를 운전해 전기를 생산하고, 발전과정에서 발생하는 열을 냉·난방에 활용하는 시스템을 말한다.  이러한 열병합 발전시스템은 대규모 발전소 건설과 운영에 드는 비용부담을 줄여준다. 또한 안정적인 전력수급, 대기오염 감축 기여 효과로 선진국에서는 이미 다양한 지원제도를 통해 시장을 확대하는 추세다.  양 기관은 이번 협약을 통해 열병합 발전시스템 사업 활성화를 위한 ▲가스요금 할인정책 ▲설비지원 정책 ▲대체에너지 역할 확대 등의 정책 마련 활동에 긴밀하게 협력하기로 했다.  또한 귀뚜라미는 열병합 발전시스템 작동·설치 기준을 제공하고, 시스템보증 책임과 공급을 담당한다. 한국도시가스협회는 귀뚜라미 열병합 발전시스템 보급에 필요한 홍보와 판매를 지원한다.  귀뚜라미 관계자는 “현재 34개 도시가스 사업자를 회원사로 두고 있는 한국도시가스협회와의 이번 협약 체결이 국내 열병합 발전시스템 시장 확대에 마중물 역할은 물론 국내 가스산업 발전에도 이바지할 것으로 기대한다”고 말했다.   지난 17일 서울 강남구 역삼동 한국도시가스협회 사무실에서 송경석(왼쪽) 귀뚜라미 대표이사와 윤종연 한국도시가스협회 부회장이 ‘가스엔진을 이용한 삼중 열병합 발전시스템사업’에 관한 양해각서(MOU)를 체결하고 악수하고 있다. 2018.08.20 [사진=귀뚜라미]  204mkh@newspim.com 귀뚜라미범양냉방, 12년 만에 신용등급'A+'로 상향 귀뚜라미보일러, 송경석 신임대표선임 귀뚜라미, 우즈베키스탄에 가스보일러 20만대 규모 수출 귀뚜라미, 벽걸이형 '저탕식 전기보일러' 출시       ▶""더 빠질 곳이 없는"" 100원대 초저평가 바이오株 <선착순 30명 공개>  ▶ 백만원으로 35억 주식 잭팟 성공한 김모씨 화제! [내용보기]  ★세력 입성 전, 집중공략! 20인의 전문가가 만장일치한 급등 유력株 ""오늘""만 전격공개!"
216,2,"2018-08-20","08:58:00","김해시, 상동 백자 가마터 긴급발굴조사 착수","[김해=뉴스핌] 남경문 기자 = 경남 김해시는 국비 3000만원을 확보해 상동 대감리 산252-1번지 일대 대감 백자가마터의 긴급발굴조사에 착수한다고 19일 밝혔다.  이번 백자가마터 발굴조사는 (재)동아세아문화재연구원에서 맡았으며 오는 22일에 착수해 9월 중 학술자문회의를 개최를 통해 발굴성과를 공개할 예정이다.   김해시 상동 대감리 산252-1번지 일대 대감 백자가마터 전경[제공=김해시청] 2018.8.19.  시는 ""매년 김해분청도자기 축제를 개최하고 있는 고장으로서 도자기관련 유적의 발굴조사를 통해 당위성을 확보하고자 꾸준히 노력하고 있다""고 밝혔다.  지난 2007년에는 관내 도요지 지표조사와 생림 봉림리 청자가마터 발굴조사를 실시했으며 상동 대감리 분청사기 가마터는 지난 2016년 발굴조사 후 도문화재(기념물 제288호)로 지정해 보존하고 있다.  임원식 김해시 문화재과장은 “향후 발굴조사를 통해 상태가 양호한 가마터가 확인된다면 이를 도문화재로 지정 신청해 복원할예정이다”라며 “도내 최대의 도예업체 밀집지역인 김해시가 가야 토기의 전통을 계승해 분청사기에 이어 백자까지 발전시킨 고장임을 유적으로 증명하겠다“고 밝혔다.  news2349@newspim.com          ▶""더 빠질 곳이 없는"" 100원대 초저평가 바이오株 <선착순 30명 공개>  ▶ 백만원으로 35억 주식 잭팟 성공한 김모씨 화제! [내용보기]  ★세력 입성 전, 집중공략! 20인의 전문가가 만장일치한 급등 유력株 ""오늘""만 전격공개!"
216,3,"2018-08-20","08:57:36","삼성물산, 호주 시드니 8826억 규모 지하차도 건설공사 수주","@media all and (max-width: 400px) {img{max-width:340;height:auto;}}.dayTBL a:link {font-family: 돋움;font-size: 11px;line-height: 18px;color:#666666;text-decoration: none}.dayTBL a:visited {font-family: 돋움;font-size: 11px;line-height: 18px;color: #666666;text-decoration: none}.dayTBL a:hover {font-family: 돋움;font-size: 11px;line-height: 18px;color: #840000;text-decoration: none}.dayTBL nobr {width:85px; text-overflow:ellipsis; overflow:hidden; cursor:pointer; float:left}.todayBDb {border-bottom: #000000 0.5pt solid}.tblGrp{padding:0; border-spacing:0; border-collapse:collapse; border:0;vertical-align:top;width:279px}.tblGrp td{vertical-align:top}.dayTBL {width:93px; padding:0; border-spacing:0; border-collapse:collapse; vertical-align:top; border:0}.dayTBL td{font-size:12px; font-family:돋움; color:#333333;line-height:18px;padding:0}.divSch1{float:left}.divSch2{float:left}.tdSch{border: #E6E6E6 0.1pt solid;height:75;padding:0}.tdSchToday {border: #000000 1pt solid;height:75;background-color:#fffff0;padding:0}.tdSchTomorrow {border-left:0}.tdSchYesterday {border-right:0}.tdDate{background-color:#c8e7ff;height:10;text-align:center}.ad {text-align:center; font-size:8pt; font-family:돋움;line-height:1.2}.lg {margin-bottom:20px;}.title{font-size:15px;color:#203c76;font-weight:bold;margin-bottom:20px;}a,img {border:0; outline:none; selector-dummy:expression(this.hideFocus=true);}body,td,select,input,div,form,textarea,center,option,pre,blockquote {font-size:9pt; line-height:1.6; font-family:돋움;}table{border:0px;}r {display:none;}    제목 : 삼성물산, 호주 시드니 8826억 규모 지하차도 건설공사 수주  삼성물산은 호주 시드니 서부지역에 총길이 12.9㎞의 지하차도를 건설하는 공사를 수주했다고 20일 공시했다.  계약 금액은 8826억원으로 작년 연결 매출액의 3.01%에 해당하는 규모다   해당 기사는 CEO스코어데일리(www.ceoscoredaily.com)에서 제공한 것이며 저작권은 제공 매체에 있습니다. 기사 내용 관련 문의는 해당 언론사에 하시기 바  ■[하이스탁론] 주식자금이 필요할 땐 ☎ 1599-6222 월 0.4% 업계 최저금리, 선취수수료 無 자기자본 포함 최대 4배 투자금 주식 매도 없이 미수, 신용 대환 / 1종목 100% 집중투자 ☞ 14년 연속 스탁론 점유율 1위, 노주현이추천하는 [하이스탁론 바로가기]  ▶【급등임박株】 “정책+실적+수급분석 완료” 주도주 '2선' 추천받기  ◆ “또 상한가 터졌다” 3,000만원 수익회원 속출! [후속주 무료 공개]  ▶ 증권사임직원&전업투자자 전용 [인포스탁 주식신문] 3일 무료 체험 신청하기 ◀   [이슈&섹터 스케줄]    2018-08-20 - 南-北 이산가족상봉 행사 개최 예정 - 한국거래소, ""KRX300 섹터지수"" 발표 예정 - 거래소, 파생전략지수 2종 발표   2018-08-21 - 게임스컴 2018 개최 예정(현지시간) - ""성남 콘텐츠 크라우드펀딩 월드 컨퍼런스"" 개최 예정 - 저축은행 광고 규제 시행 예정   2018-08-22 - 美-中 무역협상 예정(현지시간) - 미국, 러시아 신규 제재 부과 예정(현지시간) - 文대통령, 17개 시도지사 간담회 개최 예정      2018-08-23 - 잭슨홀미팅(현지시간) - 美-中 160억달러 규모 수입품 상호 관세부과 예정(현지시간) - 음악공연사용료 확대 징수규정 개정안 시행   2018-08-24 - 삼성전자, 갤럭시노트9 국내 출시 예정 - 박근혜 전 대통령 항소심 판결 - 윤석헌 금감원장, 보험사 CEO 면담 예정   2018-08-25 - 더불어민주당 전당대회 - 방탄소년단, LOVE YOURSELF 콘서트 개최 예정 - 이스트아시아홀딩스 보호예수 해제      Copyright ⓒ True&Live 증시뉴스 점유율1위, 인포스탁(www.infostock.co.kr) 인터넷신문(경기아51008)/무단전재 및 배포금지   본 뉴스(정보)는 해당종목의 매수/매도신호가 아니며, 이를 근거로행해진 거래에 대해 책임을 지지 않습니다."
216,4,"2018-08-20","08:57:30","인테리어 플랫폼 집닥, 월 거래액 100억원 돌파","/사진=집닥  인테리어 온오프라인연계형(O2O) 플랫폼집닥은 지난 7월 기준 월 거래액 100억원을 달성, 역대 최고치를 기록했다고 20일 밝혔다. 누적견적수도 8만6000여건을 돌파했다. 집닥은 지난 5월 기준, 월 거래액 90억원을 기록하며 지난 2015년 8월 정식 서비스 론칭 이후 역대 최고치를 경신했다. 현재까지의 누적 거래액은 1200억원으로 전년 대비 성장률은 488%로 나타났다. 이러한 상승세로 올해 하반기 누적견적수 10만건 달성, 내년 초 중으로 누적 거래액이 2000억원을 넘어설 것으로 기대하고 있다. 한국건설산업연구원에 따르면 국내 인테리어·리모델링 시장은 지난해 28조4000억원 규모, 오는 2020년에는 41조5000억 원으로 확대될 전망이며, 집닥 내부 자료에 따르면 이 중 온라인 중개화가 된 비율은 약 1% 정도로 성장성이 기대되는 시장이다. 인테리어 중개 서비스 시장에서 전국 450여 개의 인테리어 업체와 파트너십을 맺고 시장을 선도해온 집닥은 현재 인테리어와 건축 중개 플랫폼을 운영하며 웹페이지 및 모바일 애플리케이션을 제공하고 있다. 월 인테리어 견적만 5천여 건에 달하는 집닥은 전국 각지의 고객에게 최적화된 매칭 시스템을 기반으로 인테리어 업체를 중개하고 무료 방문 견적 서비스를 제공하고 있다. 인테리어 시공 중 고객과 업체 간에 발생할 수 있는 각종 문제를 인테리어 경력 10년 이상의  현장관리자 집닥맨이 무료로 중재하고 있으며, 에스크로 안전 결제 서비스의 도입으로  인테리어 대금 사기로 인한 소비자 피해를 미연에 방지하고 있다. 또한, 기존의 인테리어 하자보수 1년 기간을 3년으로 확장하여 소비자가 실질적인 A/S를 받을 수  있는 환경을 제공해왔다. 최근에는 기존 서비스의 대대적 강화 ‘집닥 2.0‘의 일환으로 업계 최초로 100% 재시공제와 1:1전담제를 선언하며 인테리어 전반에 책임 관리 시스템을 도입했다. 집닥의 박성민 대표는 “올해로 3주년을 맞이한 집닥은 서비스 출시 이후 현재까지 꾸준한 성장세를 기록해 왔다“며 “집닥 서비스를 사용하는 고객이 보다 편리한 환경에서 인테리어를 진행할 수 있도록 더 많은 상품군을 기획 중이며, 앞으로 인테리어 중개 서비스 시장이 더 성장할 수 있도록 관련 업계와의 시너지, 새로운 기술의 도입 등에 앞장서 나갈 것이다“라고 밝혔다.   fair@fnnews.com 한영준 기자  ▶ '모멘텀 노출 임박!' 저가 매집必 3분기 유망주 2선 (즉시 확인)) ▶ [내일 폭등] 예상종목 지금 공짜로 확인하세요! ""신청 즉시 무료발송 Click! >>>""   [파이낸셜뉴스 주요뉴스]  → 드루킹 폭로 ""2007년 한나라당, 30억으로 용산에서.."" → 월 450만원 벌던 물리치료사 남편이 돌연 직장 관둔 이유 → 우리집 개가 사고쳐도 보험처리 된다고요? → 文대통령 ""개발한다"" 한마디에 관심 폭발한 지역 → 여전히 판치는 불법웹툰.. 광고로 한달에 1억 벌어  ▶ 이 종목 하나면 억대계좌 달성가능!<3시간만 무료공개>  ▶ [급등임박 공개] 2018년 하반기 ""정부정책"" 수혜주 TOP 10 긴급공개 >>> (바로확인)  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지 "
216,5,"2018-08-20","08:57:26","삼성전자 '갤노트9', 동남아·호주 소비자와 '첫만남'","[머니투데이 서진욱 기자] [동남아·오세아니아 주요 국가에서 출시 행사 개최… 24일 정식 출시]    삼성전자가 동남아시아, 오세아니아 등에서 잇따라 프리미엄 스마트폰 '갤럭시노트9'(이하 갤노트9) 출시를 기념하는 대규모 행사를 개최, 하반기 스마트폰 시장 공략에 본격 나섰다. 갤노트9은 베트남, 태국, 말레이시아, 호주 등에서 오는 24일 정식 출시된다.   삼성전자는 18일(현지시간) 베트남 하노이의 마이딘 스타디움에서 현지 미디어·소비자·파트너 등 5만여명이 참석한 가운데 갤노트9 출시 행사를 진행했다.   이날 행사에서는 베트남 인기 가수와 배우들이 대거 출연해 갤노트9의 대용량 배터리, 인텔리전트 카메라 등 혁신 기능을 직접 소개했다. 'S 펜' 기능을 활용한 다양한 퍼포먼스도 선보였다. 참석자들은 행사장에 마련된 게임존, 스카이워크, 3D 포토부스 등에서 갤노트9의 혁신 기능을 직접 체험했다.    앞서 삼성전자는 필리핀 마닐라, 호주 시드니, 말레이시아 쿠왈라룸푸르, 태국 방콕에서도 다채로운 갤노트9 출시 행사를 잇따라 개최했다.싱가포르의 상업 중심지 비보시티에서는 갤노트9뿐 아니라 스마트 워치 '갤럭시 워치', 프리미엄 태블릿 '갤럭시탭 S4'를 체험할 수 있는갤럭시 스튜디오를 운영 중이다.   한편, 말레이시아에서 진행한 갤노트9 사전 온라인 예약 판매의 경우 물량이 모두 매진되는 성과를 냈다.      주식담보대출도 이제 부담없는 금리로 가능(안내: 02-3775-1497)   ▶▶[남북경협株] ""실적기반"" 저가에 매집해둬야 할 급등 유망주 TOP 5 전격공개 (바로확인)   ※주목※ 총 수수료 0원+월 0.4%대 금리 ▶ 저비용고수익 실현해볼까? (바로 가기)     [파워 인터뷰]      [관련기사] ☞ 윤정수, SNS에 여성 '도촬' 사진…사과했지만 논란 지속 ☞[단독]'수소도시 서울' 첫걸음…""도심 수소충전소 추진"" ☞ [MT리포트] 650 조 자영업자 대출의 딜레마 ☞ 한예슬, 누드 튜브톱+블랙 드레스…과감한 패션 '깜짝' ☞ [단독]다이슨, 청소기 소모품 가격 40% '기습인상'      ▶▶[급등임박] 2018년 하반기 ""정부정책"" 수혜주 TOP 10 긴급공개(바로확인)   저금리 고수익의 비밀, 1644-6960 키워드림론에서확인   ‘개미’말고 ‘슈퍼 투자자’되고 싶다면?...‘이것’만 잘 이용해도 가능해요!       서진욱 기자 sjw@    <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
216,6,"2018-08-20","08:57:13","[포토] 남측 상봉단 찾은 조명균 장관","조명균 통일부 장관이 20일 오전 속초 한화리조트에서 제21차 이산가족 상봉행사에 참가하는 남측 상봉단 차량에 올라타 인사를 하고 있다. 사진공동취재단    고이란 기자(photoeran@etoday.co.kr)   [오늘의 핫클릭]  ☞'금주의 주식 성공기' 퇴직 후 백만원으로 35억 벌게 된 60대 남성 화제!  ☞태풍 '솔릭' 한반도 관통 예측, 현재위치는?… 22일 밤 제주 도착  ☞경기ㆍ강원 접경지역 부동산 시장 들썩  ☞서울대공원 50대 초반 남성 시신 발견…전문가 ""시신 유기 장소, 범죄자와 밀접한 관련성""  ☞""내년 D램 가격, 올해보다 하락할 전망""    ☞“제2의 셀트리온 등장” 백만원 투자로 억대가...?  ☞[카톡방] 무료 주식 카톡방 신청자수 38만 명 돌파 <업계 최대 카톡방> →카톡방 입장하기!         Copyrightⓒ이투데이, All rights reserved. (무단 전재 및 재배포 금지)   프리미엄 경제신문 이투데이    "
